nuts_code,country,region,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,gdp_per_capita_2022
FRY3,FR,Guyane,17.53,0.0,32.01,72.12,68.52,81.44,39.01,51.73,43.31,73.53,11.76,6.350626118067979
FRY4,FR,La Réunion,34.02,79.09,32.01,72.12,66.98,81.17,75.52,67.07,47.94,73.53,14.66,14.311270125223611
FRY5,FR,Mayotte,9.28,0.6,32.01,72.12,67.37,75.29,49.29,54.55,53.86,73.53,17.3,2.683363148479428
HR02,HR,Panonska Hrvatska,59.79,17.97,51.34,51.02,48.71,47.35,42.03,31.85,45.1,12.95,7.41,2.23613595706619
HR03,HR,Jadranska Hrvatska,56.7,0.2,83.38,51.02,50.93,61.01,79.33,33.68,46.96,23.31,13.88,7.423971377459749
HR05,HR,Grad Zagreb,77.32,0.0,21.64,51.02,62.0,49.24,14.14,43.65,61.57,49.65,28.72,20.930232558139537
HR06,HR,Sjeverna Hrvatska,52.58,16.5,38.31,51.02,53.32,54.31,47.1,34.5,53.51,26.51,10.41,5.008944543828265
HU11,HU,Budapest,82.47,96.62,67.74,57.47,56.69,47.94,42.68,35.08,70.75,46.67,44.13,24.86583184257603
HU12,HU,Pest,80.41,73.43,69.7,57.47,52.64,41.0,44.02,38.45,68.22,47.41,18.87,5.813953488372093
HU21,HU,Közép-Dunántúl,56.7,82.29,75.5,57.47,50.12,32.6,62.63,38.27,66.67,35.63,12.78,6.887298747763864
HU22,HU,Nyugat-Dunántúl,65.98,75.13,60.95,57.47,51.58,43.67,53.14,31.95,64.9,38.93,11.99,6.350626118067979
HU23,HU,Dél-Dunántúl,70.1,63.94,72.69,57.47,48.79,37.02,60.78,35.4,60.81,44.76,16.31,3.1305903398926653
HU31,HU,Észak-Magyarország,51.55,68.02,71.44,57.47,48.42,20.05,32.47,35.27,51.16,33.18,11.64,2.59391771019678
HU32,HU,Észak-Alföld,53.61,82.32,53.5,57.47,46.77,28.11,39.33,33.71,52.76,26.28,13.46,2.59391771019678
HU33,HU,Dél-Alföld,67.01,42.59,50.63,57.47,52.82,27.31,37.25,34.52,57.62,31.2,16.28,3.756708407871199
IE04,IE,Northern and Western,59.79,60.26,69.56,87.23,80.17,89.98,78.36,65.89,61.03,89.28,40.39,32.11091234347048
IE05,IE,Southern,61.86,50.1,51.98,87.23,78.11,87.05,85.05,68.55,62.35,85.18,41.89,100.0
IE06,IE,Eastern and Midland,73.2,90.43,56.6,87.23,82.93,86.18,74.53,65.16,62.43,86.84,51.04,85.5098389982111
ITC1,IT,Piemonte,81.44,80.3,40.35,63.42,53.25,67.88,43.34,42.97,42.28,78.32,18.28,23.07692307692308
ITC2,IT,Valle d’Aosta/Vallée d’Aoste,100.0,47.69,40.35,63.42,54.5,75.19,80.42,42.72,43.76,78.32,13.55,31.663685152057244
ITC3,IT,Liguria,71.13,10.34,40.35,63.42,53.05,76.13,76.66,43.3,40.98,78.32,23.7,24.329159212880143
ITC4,IT,Lombardia,77.32,96.38,40.35,63.42,53.95,67.63,53.4,48.58,43.42,78.32,21.38,31.932021466905187
ITF1,IT,Abruzzo,76.29,50.82,71.01,63.42,52.37,72.99,65.87,38.58,37.73,76.01,21.17,16.63685152057245
ITF2,IT,Molise,75.26,95.02,71.01,63.42,51.08,72.07,73.18,30.08,34.57,76.01,18.54,14.579606440071556
ITF3,IT,Campania,73.2,57.37,71.01,63.42,49.94,67.04,69.03,33.81,27.8,76.01,15.4,11.449016100178891
ITF4,IT,Puglia,74.23,85.41,71.01,63.42,49.4,72.92,78.63,30.39,29.82,76.01,12.16,12.075134168157424
ITF5,IT,Basilicata,78.35,22.06,71.01,63.42,50.69,74.62,76.79,30.06,34.35,76.01,13.04,17.71019677996422
ITF6,IT,Calabria,59.79,86.17,71.01,63.42,49.31,73.49,74.94,33.69,28.14,76.01,13.79,9.838998211091234
ITG1,IT,Sicilia,64.95,10.51,49.65,63.42,48.76,71.76,67.97,34.57,35.09,74.82,11.49,10.37567084078712
ITG2,IT,Sardegna,78.35,85.43,49.65,63.42,51.71,73.39,83.62,38.81,38.7,74.82,17.47,13.864042933810376
ITH1,IT,Provincia Autonoma di Bolzano/Bozen,80.41,97.06,48.07,63.42,55.1,79.99,82.51,46.9,52.84,73.15,19.99,41.234347048300535
ITH2,IT,Provincia Autonoma di Trento,80.41,99.95,48.07,63.42,53.64,79.25,77.66,49.89,50.39,73.15,29.87,32.02146690518784
